Experiment,model,size,mAP50,mAP50_95,robustness_retention,latency_ms,fps,params_m,size_mb
A,YOLO11n,640,0.291,0.164,87.7,9.82,101.9,2.58,5.4
B1,YOLO11s,960,0.473,0.285,83.5,19.19,52.1,9.42,18.4
B2,YOLO11s,1280,0.533,0.329,80.7,34.05,29.4,9.42,18.4
B3,YOLO11m,960,0.531,0.326,82.7,45.78,21.8,20.04,39.5
